author,channel,cid,heart,photo,text,time,votes
Akshaj Srivastava,UCaRkNd1DcawYMY3IWPmPnxg,UgyJv9KmGJp5-nfoif54AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu8svU0ksz4Ao45a6x4PcnLdKH3LwbTVYsLrvQG41xw=s176-c-k-c0x00ffffff-no-rj,Savva's two touch challenge first 2 goals shot like a freaking bullet,6 months ago,14
Memeschannel1,UC-NQ1PUap4cDE3l_h53zK2Q,UgyK92PO6h0BDWRywuh4AaABAg,0.0,https://yt3.ggpht.com/sYkFE_0-9-H6WWCDS9fR4lXXoac1Dpc8ynyGZJhoJ3T1pkRi1_AHKhQk05JkSxT-urZnzSOp=s176-c-k-c0x00ffffff-no-rj,",,Why,why,why you did leave me"" I cannot stop laughing! Hahaha",6 months ago,10
⭕️Free Robux On My Profile,UCn5oP31gtOkpZfXxpR3LAnw,UgzQ-CdUB5PfRw70yRF4AaABAg,0.0,https://yt3.ggpht.com/QTHjtxg26mrEabqpukvSlQyaDsEdjDSz7JgnaWRvl7UJkSKm65fX6_MJT9BFG8JF3Rqldu3gvRM=s176-c-k-c0x00ffffff-no-rj,"Keep up the great work Bro! This is soooo epic, I love your videos. Thanks for keeping us entertained!",6 months ago,22
Jose Arango,UCBRA85WoIEFMbh4iKARRWVg,Ugwxnr9MpxoSZoUGMIx4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu969VTc6mxnu9U_IbKj4UfaAz17PzFUiqW-Sg=s176-c-k-c0x00ffffff-no-rj,Sv2  was so funny on the fourth challenge because he did some kinda handstandcartweel it was so funny because I was laughing for like 3 minutes,4 months ago,11
Ronaldo suuuu,UCiG8qIdQEEkfe_FsKG5v-Fg,UgzJpizwzZMgVPj_3BV4AaABAg,0.0,https://yt3.ggpht.com/8vt_Fi3pujSSd8vGua2mUffBn5CdVz3moXxE3TLSyliM6QO9s-17SxYrueIoBJ5e-fFPaFDu=s176-c-k-c0x00ffffff-no-rj,I like your video’s so much that I can’t stop watching them,1 month ago,0
Krilzz,UCwc72xT6zq_1d85xI4MFoRQ,UgyltBF5txmQZVrnTdd4AaABAg,0.0,https://yt3.ggpht.com/61a-LFdIveJbIo9daub1cgjPy9R_R_CJ15TWLdZjK2LhBNgWgr21iyzbmerKKqqlcLZFF3GLIQ=s176-c-k-c0x00ffffff-no-rj,SAVVA YOUR SHOTS ARE MAD INSANE BRUV!,6 months ago,13
Shohib Gharwal,UCdLiWEU-QLKwlq2DNNicBEw,UgwHtkmHOBv6dI5dycZ4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-C2W8xLEeASqpQlz9OTCdVAYVUWTmNChZJHA=s176-c-k-c0x00ffffff-no-rj,Eman is so funny😂😂,2 weeks ago,0
emmawilkins91,UCM7eKIq86WAzebSbQSxsmkg,UgwqIcy9Kn1oTpCIyzF4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu800Gxhr5dXMRxiZM6WMn6C0s0OtNKnTG161g=s176-c-k-c0x00ffffff-no-rj,Adam by far had the best shot,6 months ago,5
Yahya Baller,UCahVtXARS1yn5ZSKlLMmSAg,UgyK8rexaINCDrW4E7J4AaABAg,0.0,https://yt3.ggpht.com/ZIpCcioqfpEuE01CEl555LB1OCQMorThjPN6S6hS8uKkwD0fgbh_PzUtYaMZuZ5Ip8BVToDL8Q=s176-c-k-c0x00ffffff-no-rj,Sv2 with another banger🔥🔥🔥👑,6 months ago,8
Mary Folake Olanrewaju,UCHdkbBpDGQ-la5dnerhziDg,Ugx5WHGBUJFJlsJ4rgp4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-kqFseoMlQsWToeFcuoaIVXyxHtGbHLCDB2NXx4A=s176-c-k-c0x00ffffff-no-rj,Lovely Video Sv2 big fan Never fails to entertain us,6 months ago,6
Shohib Gharwal,UCdLiWEU-QLKwlq2DNNicBEw,UgwgAOkb-FBKcC8MFMZ4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-C2W8xLEeASqpQlz9OTCdVAYVUWTmNChZJHA=s176-c-k-c0x00ffffff-no-rj,When He said  Why did you leave me after he misses so funny😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2 weeks ago,2
Slmonetta Pantarotto,UCjOp0FXfIJDfPkoJCuHz0qQ,Ugx8-kjAK-EqYyMhkv94AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu8pfXolCsvOlkiogdK8Zfgt3wqDP1Yj0F2MRkC5MR81Ry8TG6Wef0z1Hg5qoVjZ=s176-c-k-c0x00ffffff-no-rj,dami scored the best goals on the two touch chalange,3 weeks ago,0
Nuri Batman,UCt3pj4c1OjoUzztpjcEiZkg,UgwInqBb-1et8QAshiF4AaABAg,0.0,https://yt3.ggpht.com/246CdPjD4MQwuSCyIw7xncYYxxV_6KZtsMuJ8kzot-ikVjAdlvfp42StA7Nn4Oc9oaslHjTVeQ=s176-c-k-c0x00ffffff-no-rj,imagine they opened that coke bottle,6 months ago,3
SAVVA,UCvOuHiYfF8JtzwhK39hnuGA,Ugyao4dicnlp2CKfc854AaABAg,1.0,https://yt3.ggpht.com/ytc/AMLnZu8J56o9JV73jlBTuvi-R_oLfBd4VAITjI0w36ShVQ=s176-c-k-c0x00ffffff-no-rj,BEST VIDEO EVER 🔥🔥🔥🔥,6 months ago,148
KAMPUNG GUHA,UC2KNDnQx8W5YdRQAezLfoEA,UgwmQBGjCVP7Wfo-ZLV4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu9B-cOX0dSuqc1crb9nqSxYIirRbx7a9MJNKVLn=s176-c-k-c0x00ffffff-no-rj,Why thumbnail,1 day ago,8
mike berg,UCyWV08mbpIYu4FzgaEi6mHw,UgwH1-xF3QWiiBqOdb14AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu9SrQoNH8I7TOYIw7uUC4hdRtLp4c_gFgETNg=s176-c-k-c0x00ffffff-no-rj,4:27 what a freaking control ..,11 days ago,9
Telen Khaidem,UC4jUTLyt71xH_OwnGVVAkzA,UgyL2572dldYqt4uNY94AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-FMwMmYi_pz1ilw6w4fLlXCXEO78ipKkCfK3Saa7r3IDfzjk31zFz8SYjkMbvR=s176-c-k-c0x00ffffff-no-rj,My respect to the goalkeeper  who save 16 times 👍👍and that was also very hilarious to see the opponents shots 🤣🤣,1 hour ago (edited),0
Agyei Maxwell.,UCKKiLcqiuqPVqOuq-yx-Mtw,UgwNjae36ETVCmORIHt4AaABAg,0.0,https://yt3.ggpht.com/yeoHsR8sxwSAz27nMIe-lxPAlWdb8Y8Ltv1LH3p-VOUly-wM0RczgLMfP9JfwLxjKmVBve_T=s176-c-k-c0x00ffffff-no-rj,Sublime 🤔⚽🔥♥️,2 weeks ago,2
Beau tracey,UC1tHJLsacRGmeAi75fe2t5Q,UgwwAW2nzgwtqYEsJIZ4AaABAg,0.0,https://yt3.ggpht.com/K2oPJpdNS5yrzzYmBbO6YzMjA8fbcrxoGWUzP5Uy8s4bxD3DujcwpzGvSDxVwI93Al18FfmvwmI=s176-c-k-c0x00ffffff-no-rj,2:09 what a save 🥶🥶,4 hours ago,0
BRESNOV IGLESIAS CR7,UCBgGtUeKzgOBlMatQMUusjA,UgwrE7Q2PnLBbh20-YR4AaABAg,1.0,https://yt3.ggpht.com/ytc/AMLnZu_BkM01xZ7GQC_aVFe1YuyxKcyeTR6872RvZtrPEA=s176-c-k-c0x00ffffff-no-rj,Last goal was really funny sliding through grass awesome brilliant video editing 😆😆😂😂🤣🤣👌👌👌,2 weeks ago,7
Tünde Eszlári,UCGWPBqYwUMFoKK_uIvQqYMQ,UgykWVOqUk0yi4VH05B4AaABAg,1.0,https://yt3.ggpht.com/ytc/AMLnZu_Bq36mnPWLc-O-ZKKnIZlnORM22sDlF4A2rgH1V0A=s176-c-k-c0x00ffffff-no-rj,Sensational video. 😁,2 weeks ago,2
nesswebb1,UCRi3wa9Sp96Xdpn1FlwfPFw,Ugys8NqarHle--yxN554AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu8pneYXMdxOuyTdv4E59kCFvO1pGAdlAPwcqbKN=s176-c-k-c0x00ffffff-no-rj,Arsenals team goal was so good.,36 minutes ago,0
Bobby M. Hart,UCoq_EOWjxcrvdfPQO8sY2bQ,UgxKST0pCnKG8n9n_4l4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu83xkZjJNng7u2WK3CltOcXXrViSj9hhCiMJnbxfuiTzTLKN81gsfr-rp3N9_6r=s176-c-k-c0x00ffffff-no-rj,Argentina basically had a free goal lol,11 days ago,0
N2N - Incredible Moments,UC8ZqAWGLt91DVySxur8xxug,Ugwxso4IDP-glLn5BTJ4AaABAg,1.0,https://yt3.ggpht.com/ILQjZ6hwp7GGkx4iUVeZuU3FhBlEszYtt2G4-fSPR374iuFJZP5wcE3Ot8qJgCjrivtUKg74ZjE=s176-c-k-c0x00ffffff-no-rj,Love this video so much! I love your other videos,2 weeks ago,0
Beema Shajahan,UC3PafOKhVfi49QAW-r2Y92A,UgxhY2R9thsYdJjAkeR4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu_oOSpOylxPz2dzCt8GrnO8ojbZyB8NReBV1DLq=s176-c-k-c0x00ffffff-no-rj,Last one is super🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,9 days ago,1
BURA MAN,UCq-pEQZYyLmZAoFIvVHBFsg,Ugx3w0FV2vCAsHaKM254AaABAg,0.0,https://yt3.ggpht.com/Zo1_Mfjs3_lJIXeAI7ZK5Sg7A4UuFHyT6t9M6LHWQ_NttlnBsd1bMmFgtElxOOh7R59W1fjmLQ=s176-c-k-c0x00ffffff-no-rj,These goal keepers are concrete walls,2 weeks ago,2
Jafar uninstall,UChkSl_P78J4gPqQZ211prJg,UgyVYV4Un0PaYzPQMOZ4AaABAg,0.0,https://yt3.ggpht.com/KRLhEIxAj3uZjACpV9Qf4hlJtdMFGDFohk3XevvfAbTqQmMjqNvfbawlCSUy0-_Glw58lvVpoM0=s176-c-k-c0x00ffffff-no-rj,هنوزم دارم میبینم و لذت میبرم.....,2 weeks ago,3
  FootballHP,UCA5tu2KhXn2OFh94-OLtZLA,Ugyr8et2Q5ICdo-iMEh4AaABAg,1.0,https://yt3.ggpht.com/Zz9-iMJUPkVwkYwxqWgGYKMIRJfNFrvjIz1RqduB7K8wR_gp0E-IiuZ3WGKFHs-9qEKG2t4ooaQ=s176-c-k-c0x00ffffff-no-rj,video good,2 weeks ago,1
Kleminho,UCpCH158qYspMKtZlE_1Aedw,UgyBkKxS6v0Qxl7xpiZ4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu9j4xGt3t5_kcVdkC667gMSUCDwX7BqG24_7_j4=s176-c-k-c0x00ffffff-no-rj,0:58 🤣🤣,2 weeks ago,3
Burak Erdoğan,UCQFZHGYHO-grV2LMoSPjGnw,UgwOm_XPaNp0EqeYMdh4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu91h5htY3otT8UVEotnvhotCBNLxTMjm8jaeD5c3eek7GFOWrCx8h7svZAGTAKe=s176-c-k-c0x00ffffff-no-rj,Muslera,13 days ago,1
Izabelsla Poplawska,UCsa8D_yzeYABtf4CuVzZkxA,Ugx4SDUQtud-U7togdd4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu9G-bNdXoKTJzGNKikXE3QMEa0Trat9FPNfeQ=s176-c-k-c0x00ffffff-no-rj,What is that thumbnail,1 day ago,1
Football Terminal,UCD6frpJW9XH825x7XUKq2ZQ,Ugz-HicEHbR8UsbuooB4AaABAg,0.0,https://yt3.ggpht.com/P1KcgihauNSwOqK8ODu8jf1_1BuPMwckv9pOnC_0dScpRDIXfjvEXD_XCoxzGQ53L8mKbj24pM4=s176-c-k-c0x00ffffff-no-rj,You're always a great watch :goodvibes:,2 weeks ago,1
ECO shorts,UC7OULSJbgeBn4V1D76Vjq_Q,UgzUm35L9ez0z3wXi0V4AaABAg,0.0,https://yt3.ggpht.com/_UKipPqK5EdLP8tHjbB-vvsMNzD-7JiOVr-W2F2UKzc9gaNZsm_5EQwdEP00ZG2Lf74waIia=s176-c-k-c0x00ffffff-no-rj,How our they impossible if people have done it,1 day ago,0
Anna Rooney,UCNYQxJ6kBAUrG8pUsH5JMOw,UgyBP9kRMZQAxIFtto14AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu_j6S-u1wd2QKCMCCApNs8gc6WY8knTDrrV6g=s176-c-k-c0x00ffffff-no-rj,Football,7 days ago,0
@aidiliskandar6002,UCBo4WX0iExl2iGMT0mSjBlw,UgzSA8W8eYnXYI0AHEt4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu_YR7I70e16561rJWTfnl1zsK2N2OwhJwaCVKlE4hHK8f6vCmuQc_5T6NdsYgK9=s176-c-k-c0x00ffffff-no-rj,So funny headshot goalkeeper,3 months ago,4
@football-soccermoments4837,UCCTKHnfBVV0dx2kPE-nXLYA,UgwcFpoMe5ys3VjXHD14AaABAg,0.0,https://yt3.ggpht.com/cxi5hlENExIhf-RaO6op7ztj47cMsiUE9mt1tdz9kqlqQjRu5gHTd2OMjx6SIRV98LmY8h0onjw=s176-c-k-c0x00ffffff-no-rj,These goals are truly incredible  🔥🔥🔥  Looking forward to more content!,2 weeks ago,0
@ctfv,UCueJs4NLbqopjY0HM5TjwnA,UgwzA7lFeLs3PtCQHPh4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-NdUFPBeVCcH6W5oe9lb5iZU_KcSpn565pmZao=s176-c-k-c0x00ffffff-no-rj,5:42 the most chill ref in sports history,2 months ago,4
@dianavelasquez1272,UC2SzTgez8tvKnJO6qA6xMtQ,UgxZegfk-zGrUVj09SB4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu_vligrZpAsLgc0CI2vAmDb9eNAdxp5-rbAl3dQ=s176-c-k-c0x00ffffff-no-rj,that own goal by the keeper was second-hand embarrassment,3 months ago,6
@footballfun6660,UCs5PD1w2e30MA5i6vJbmgUw,UgwZnsV1agmxAAzg-6h4AaABAg,0.0,https://yt3.ggpht.com/rcSLS7d3POdvxtJ2oFH08iI3RAwaxVqY37rHT5RQGVHfXywDcVTK5DTBMV-VmvXiZfEpHy0Zcw=s176-c-k-c0x00ffffff-no-rj,"This is so cool to watch, you're an expert at this,you bring out the fun in the game of football.",3 months ago,7
@kerbipl,UCbd7Hagp_sHAeTss9fKNJ2A,UgyTj5dy2TVuO7g_KR94AaABAg,0.0,https://yt3.ggpht.com/y9iKo37AYvm5l7k6Td5QcYEgAf0zzwQq2AuxQ7LId__dwsl6uhKPJ2ZEKjLbanjRYjvLiZwa5g=s176-c-k-c0x00ffffff-no-rj,4:30 NAJLEPSZE,3 months ago,13
@user-ft9ru7yu2e,UCLEeMRKIkAydywcpnbqKTxg,Ugyq9eDhUs64wmAyF-V4AaABAg,0.0,https://yt3.ggpht.com/9xnf4ccX1JE877hIRtogYYAA1rQn65HKc7rP5M57hjnp_373pkEwXXdGcQR4ekGXqk4ga3ECWg=s176-c-k-c0x00ffffff-no-rj,4:31 손이 없어도 되는 골키퍼 웃픈 대단한 실력의 골키퍼,3 months ago,5
@jonathanielquaye3738,UCjLYGS54W-1Nf-WsTIyin1w,UgwDdW63fB5lQ5qaGwx4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-j73-J_RKQJ8ag5TkkWNwYDLX7-Lc32FKV=s176-c-k-c0x00ffffff-no-rj,🤣🤣🤣🤣🤣🤣 the headshots to the goalkeeper absolutely hilarious,3 months ago,25
@stefanraus6083,UCg7Hb_dx3-fPcIqhxCXl0VQ,UgwRFmpuo2OZ-SP12GV4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu8EZTx-R3uev-CcEm3RoEty0aSDRy7uU53W_g=s176-c-k-c0x00ffffff-no-rj,Can you believe that haaland missed that,3 weeks ago,1
@karijo1979,UC_8OFtP7tPCAWka9jzJG1DQ,UgyFc-JBXp_3W-_NFxh4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu8dHX3j2mjXhUv189Swew-lNq8VwQlk0ikfwQ=s176-c-k-c0x00ffffff-no-rj,Cristiano Ronaldo!!!!!!!! 😁,3 months ago,5
@cryphenix3733,UCLMEfyXGYKHUsWIwC8A1srw,UgxJFjMF3xCWyzE1Xl54AaABAg,0.0,https://yt3.ggpht.com/mdtQvgCT6_zZ010MWoO6PkcnWzkM8DtQlcVbAT0E02oby932qvzMP-a_Y4z4lRGZ5RVLI2Cq6sM=s176-c-k-c0x00ffffff-no-rj,Poor goalkeeper he is a safe,1 month ago,1
@kick-offfiles9688,UCeXiDfjcJtrLB-7FG1wRVLA,Ugx40_yfnaKa-MG1N814AaABAg,0.0,https://yt3.ggpht.com/hlZOcHRK4R-RZOAhpB_bGtWiLpyzk036Q3Y5xOVYAviqgmF0sCfRQQbB0AhmNC-Jo4N-3lnvAQ=s176-c-k-c0x00ffffff-no-rj,7:22 so funny!,3 weeks ago,0
@chrispele6926,UChb3yAQWHtuXQL21ESc6J6w,Ugyzz2o7FHjeB6QSYmB4AaABAg,0.0,https://yt3.ggpht.com/7fA2my4viPi9s59trUwi8j0Cjf8b0HAUlcaqepwfLG18D7Z6ZPEuDso_CnTVLu0khPHd033l=s176-c-k-c0x00ffffff-no-rj,Ωραίο βίντεο,2 months ago,2
@bitamortazaviravari1848,UCtMICZNCAuXtibolNsfIu_Q,UgyPkR2Q6_ogi-UHAcp4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu8m158ZkU2w13QKv9rqyAr3VIheJ0cIIIqn7A=s176-c-k-c0x00ffffff-no-rj,Nice vid!,2 months ago,2
@bajurtin4675,UCkxDu254Oz3QlQWRDlNlmVQ,Ugy1oMmt9t9-Vyi9ffV4AaABAg,0.0,https://yt3.ggpht.com/F9aYa0SZbueAY1kLIjHkJ3cwG8-sN5NeMQd9Y7S0ZzvgiAqHqJKpvh9t9PDy-APDkLhC2cHGrz4=s176-c-k-c0x00ffffff-no-rj,offside mesut özil🥴,3 months ago,3
@calebelpro1063,UCbkXQOKsoy6MmQ_iOqvxqhQ,Ugx8AeoqGRg6QoNNIp94AaABAg,0.0,https://yt3.ggpht.com/UUfpecHgwWzjsbytuVFnhJ4G3aSUmQE4Jf9g6sAX-LBxrfMspjlsQiUnraMJE5Fj3wTMqRCUtA=s176-c-k-c0x00ffffff-no-rj,Pobre portero,1 month ago,1
@ishak9866,UCVkc9HrZ_-lh_ki5_moormQ,UgxZJKRAbaP7AS2RIZp4AaABAg,0.0,https://yt3.ggpht.com/cUKKoRHo-CP0dTz1IMQVDvUyk86uGyVv4SANiAyQ8ofM2AojjSoSyDEisgCyRxsR-6jODxy1LiM=s176-c-k-c0x00ffffff-no-rj,5:01😂😂,3 months ago (edited),16
@soccer77v32,UCP4twFYs39AzfFXDgZbI0yQ,UgxVF_WSSrgnT1I5UgZ4AaABAg,0.0,https://yt3.ggpht.com/xh5GGzWlz_NcyQFdQ2eb4J6i7D9BDTFfqGQsnORq0X0Ti4GYmNoepoOTNtXKV5iw6_HuNRXuyE0=s176-c-k-c0x00ffffff-no-rj,wow amazing,3 months ago,2
@marianmatecek792,UC3FsUDBcSrxRZT5QT2euTFA,UgzuKZHJqjzfG2-CUUB4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu_h6pmIwApDfSYN5r6_--6Ytf-pqDwDjjsP1A=s176-c-k-c0x00ffffff-no-rj,Rip goalkeeper,3 months ago,4
@user-rj1cq5lz5y,UCKtyDl6qj1S17MlyONGxZHQ,UgwRjt_XiBXMtwcIkWd4AaABAg,0.0,https://yt3.ggpht.com/GReeHPjvmj7vj5WuHVkhroT3duMDVsscjbEwMyisIJUFmLDtmpUbGN1KhjYfmvkQv4_rhVmphw=s176-c-k-c0x00ffffff-no-rj,Leuke video,3 months ago,2
